Date,"Tesla, Inc.",S&P 500,Exxon Mobil Corporation,Walmart Inc.,JPMorgan Chase & Co.
2020-02-12,0.00996710378864635,0.006441853105203067,0.012151376322925865,0.0038920750575061214,0.0
2020-02-13,-0.0018220725273928081,-0.0016317763599886593,-0.005564674660977563,0.013631053066205281,-0.00086989337611998
2020-02-14,0.002901243123753793,0.0018418360984854144,-0.004605826006808796,0.0038247020960345997,-0.003050858832390943
2020-02-18,0.0006460919398795108,-0.0029242139861477136,-0.012777139816834536,0.014651426215300179,-0.013328685369371063
2020-02-19,0.009192562850895408,0.004694748284284925,0.007652309246900192,-0.016434663608137196,0.013546959046901747
2020-02-20,-0.009397128685980482,-0.0038228174279975285,-0.007986438997912827,8.512868290742141e-05,0.0
2020-02-21,-0.018993409961266493,-0.010573809232819777,-0.012270094604865237,0.007533878021751646,-0.012294541900746383
2020-02-24,-0.039631031106312754,-0.03408807942044074,-0.047978715494769876,-0.019242801895231,-0.02724332414546991
2020-02-25,-0.027327025254886676,-0.030747904375353224,-0.03907879967359601,-0.01673123196230697,-0.04567011677725828
2020-02-26,0.004392176155227155,-0.00378569732353003,-0.02220047366477515,-0.005346942025878909,0.0030053448194966837
2020-02-27,-0.05051090914854129,-0.045168136352261155,-0.06206394067078077,-0.03015658870105932,-0.04250484144214312
2020-02-28,0.0029777997860007317,-0.008272463109653077,0.031999587919842726,-0.02494637157837129,-0.04430583855493165
2020-03-02,0.04800863493342074,0.0450108687694132,0.046343246115949484,0.07339116721527006,0.04554089462697337
2020-03-03,-0.032452778927889295,-0.02851048492291458,-0.04906859650510652,-0.025964130562070843,-0.03824682656199333
2020-03-04,0.04045178515653799,0.041336349360633136,0.021597344125240704,0.03361544823399221,0.024408888987061107
2020-03-05,-0.031512857372407464,-0.034510782439981125,-0.04506736397653921,-0.00730641442167247,-0.05030562898065025
2020-03-09,-0.08713618311923682,-0.09621135659275765,-0.1798898590411169,0.010640511965196917,-0.19861553740573043
2020-03-10,0.052000926247806334,0.048215052425859106,0.03635905839165589,0.022199750544528538,0.07482609410679135
2020-03-11,-0.04471873457993497,-0.05010289280860541,-0.03349688609302684,-0.04577692735934422,-0.04821448618663749
2020-03-12,-0.097323819979458,-0.09994485240247351,-0.12142202483234425,-0.09509168579424292,-0.0860264293022385
2020-03-13,0.09596639289383774,0.08880840694923595,0.024968209194334488,0.09220378157347127,0.16562019031170036
2020-03-16,-0.13003150583375683,-0.12765219747281742,-0.10006967241993159,-0.06649195944770157,-0.16210568096915767
2020-03-17,0.06260633638082741,0.05822631263569171,0.06510009662837696,0.11072251183795528,0.059318953293800665
2020-03-18,-0.04079579437763642,-0.053222272332080246,-0.10563226957318049,0.027457977294446045,-0.11123192350176925
2020-03-19,0.015672637319200763,0.004696760970401053,0.03879085720950879,-0.021450921669200415,0.016668025013215633
2020-03-20,-0.041206402778156855,-0.04432762405336681,-0.05033060420699687,-0.04696306246961049,-0.021327860883852315
2020-03-23,0.0018041135406737106,-0.02973150100957679,-0.04019850606578274,0.0027166781444752344,-0.0550190044012895
2020-03-24,0.07515515128133197,0.08968323251796326,0.11944196063902572,0.006541327554482903,0.11238383269791881
2020-03-25,-0.011209228908496889,0.011468990420822226,0.05088419295792513,-0.05018217101288039,0.036637968476835765
2020-03-27,0.01577268413682694,0.026275985532620175,-0.009159499848272782,0.001644147253132933,-0.0065625309606113956
2020-03-30,0.03885379446196175,0.032966590569974794,0.0147750244189695,0.04992795629871353,0.025674637249376256
2020-03-31,-0.009617615119659308,-0.016142310788415843,0.01245537131251306,-0.013723424641837385,-0.03781857399840779
2020-04-01,-0.042779653942016646,-0.04514636273278691,-0.011655387166760442,0.004566268219038608,-0.06504962904230804
2020-04-02,0.019756046476378936,0.022572657056960366,0.07368920624464695,0.03875197277687474,0.0366597830265813
2020-04-03,-0.014185403275586126,-0.015252860825944299,-0.02989840125817923,0.0069712970464565665,-0.030003280418446906
2020-04-06,0.07095332018041661,0.06796824414483035,0.03162952889775343,0.05368816534048279,0.062379553270241674
2020-04-07,-0.004010935559982652,-0.001604339048362459,0.018847615724791055,-0.0328982779078333,0.013104168890445569
2020-04-08,0.02214374404897426,0.033489371191284686,0.06136603297906743,-0.0012304357782520015,0.039585359249234724
