Date,"Tesla, Inc.",S&P 500,Exxon Mobil Corporation,Walmart Inc.,JPMorgan Chase & Co.
2020-02-11,9517.8603515625,3357.75,47.31340026855469,35.504241943359375,118.2776870727539
2020-02-12,9613.2001953125,3379.449951171875,47.89183044433594,35.642696380615234,118.2776870727539
2020-02-13,9595.7001953125,3373.93994140625,47.626068115234375,36.13187026977539,118.17484283447266
2020-02-14,9623.580078125,3380.159912109375,47.4072151184082,36.270328521728516,117.81485748291016
2020-02-18,9629.7998046875,3370.2900390625,46.80533981323242,36.8056526184082,116.25495910644531
2020-02-19,9718.73046875,3386.14990234375,47.16488265991211,36.20570755004883,117.840576171875
2020-02-20,9627.830078125,3373.22998046875,46.789703369140625,36.20878982543945,117.840576171875
2020-02-21,9446.6904296875,3337.75,46.21909713745117,36.48261260986328,116.40065002441406
2020-02-24,9079.6298828125,3225.889892578125,44.05392074584961,35.787296295166016,113.2723159790039
2020-02-25,8834.8701171875,3128.2099609375,42.36555099487305,35.193511962890625,108.21550750732422
2020-02-26,8873.759765625,3116.389892578125,41.43537902832031,35.005836486816406,108.54122161865234
2020-02-27,8436.669921875,2978.760009765625,38.94191360473633,33.965938568115234,104.02436828613281
2020-02-28,8461.830078125,2954.219970703125,40.20819091796875,33.129093170166016,99.5160903930664
2020-03-02,8877.98046875,3090.22998046875,42.115421295166016,35.651920318603516,104.15292358398438
2020-03-03,8594.490234375,3003.3701171875,40.098758697509766,34.738162994384766,100.24462127685547
2020-03-04,8949.2802734375,3130.1201171875,40.974205017089844,35.925750732421875,102.72158813476562
2020-03-05,8671.66015625,3023.93994140625,39.16859817504883,35.66421890258789,97.68193817138672
2020-03-09,7948.02978515625,2746.56005859375,32.719966888427734,36.04573059082031,80.08600616455078
2020-03-10,8372.26953125,2882.22998046875,33.93152618408203,36.85488510131836,86.30842590332031
2020-03-11,8006.1201171875,2741.3798828125,32.813751220703125,35.205814361572266,82.24583435058594
2020-03-12,7263.64990234375,2480.639892578125,29.061830520629883,32.01227951049805,75.46630859375
2020-03-13,7995.259765625,2711.02001953125,29.796586990356445,35.10429000854492,89.05966186523438
2020-03-16,7020.3798828125,2386.1298828125,26.95918846130371,32.846046447753906,75.73200225830078
2020-03-17,7473.9501953125,2529.18994140625,28.772621154785156,36.69182205200195,80.36026000976562
2020-03-18,7175.18017578125,2398.10009765625,25.888322830200195,37.71326446533203,71.90083312988281
2020-03-19,7288.52001953125,2409.389892578125,26.91228485107422,36.91289520263672,73.10932159423828
2020-03-20,6994.2900390625,2304.919921875,25.59129524230957,35.21942901611328,71.56656646728516
2020-03-23,7006.919921875,2237.39990234375,24.582965850830078,35.31523895263672,67.73540496826172
2020-03-24,7553.81982421875,2447.330078125,27.701753616333008,35.54700469970703,75.79200744628906
2020-03-25,7469.6201171875,2475.56005859375,29.14781379699707,33.80719757080078,78.62036895751953
2020-03-27,7588.3701171875,2541.469970703125,28.88205337524414,33.86282730102539,78.10610961914062
2020-03-30,7889.009765625,2626.64990234375,29.311954498291016,35.5964469909668,80.13742065429688
2020-03-31,7813.5,2584.590087890625,29.67932891845703,35.11127853393555,77.163330078125
2020-04-01,7486.2900390625,2470.5,29.335412979125977,35.27197265625,72.30365753173828
2020-04-02,7635.66015625,2526.89990234375,31.57875633239746,36.6656608581543,75.00347900390625
2020-04-03,7528.10986328125,2488.64990234375,30.648576736450195,36.92216110229492,72.78655242919922
2020-04-06,8081.66015625,2663.679931640625,31.63347053527832,38.958621978759766,77.47154998779297
2020-04-07,8049.31005859375,2659.409912109375,32.2353401184082,37.69780349731445,78.4934310913086
2020-04-08,8229.5400390625,2749.97998046875,34.27545166015625,37.65144729614258,81.6629409790039
2020-04-09,8238.5302734375,2789.820068359375,33.71265411376953,37.63909149169922,88.98924255371094
2020-04-13,8332.740234375,2761.6298828125,33.42344665527344,38.72067642211914,85.03165435791016
2020-04-15,8591.9599609375,2783.360107421875,31.641279220581055,39.7899055480957,78.6233139038086
2020-04-16,8757.830078125,2799.550048828125,30.601682662963867,40.89310836791992,75.62698364257812
2020-04-17,8832.41015625,2874.56005859375,33.78301239013672,40.82822799682617,82.4250259399414
2020-04-20,8726.509765625,2823.159912109375,32.18843460083008,40.12673568725586,79.4200439453125
2020-04-21,8403.0,2736.56005859375,32.01647186279297,39.928958892822266,77.11651611328125
2020-04-22,8664.6298828125,2799.31005859375,32.93101501464844,40.664432525634766,77.3676528930664
2020-04-23,8641.5,2797.800048828125,33.96278381347656,39.71881866455078,77.41094970703125
2020-04-24,8786.599609375,2836.739990234375,34.18165588378906,40.00002670288086,78.5540542602539
2020-04-27,8837.66015625,2878.47998046875,34.345794677734375,39.647743225097656,81.94007110595703
2020-04-28,8677.599609375,2863.389892578125,35.15090560913086,39.55504608154297,82.52030181884766
2020-04-29,8982.759765625,2939.510009765625,37.09721374511719,38.19533920288086,84.74588012695312
2020-04-30,9000.509765625,2912.429931640625,36.3233757019043,37.56183624267578,82.92729949951172
2020-05-04,8834.1103515625,2842.739990234375,35.08055877685547,38.22624206542969,79.79241943359375
2020-05-05,8930.6201171875,2868.43994140625,35.04146957397461,38.544532775878906,79.6711654663086
2020-05-06,8984.8603515625,2848.419921875,34.38486862182617,38.10262680053711,78.17302703857422
2020-05-07,9101.8798828125,2881.18994140625,34.580299377441406,37.83259963989258,78.98703002929688
2020-05-11,9298.919921875,2930.18994140625,35.752777099609375,38.385074615478516,77.9132080078125
2020-05-12,9112.4501953125,2870.1201171875,35.1551628112793,38.41921615600586,75.36720275878906
